TIME,Value,PIB,Taux
1970,4549.38,18297.775,24.86
1971,5426.01,20500.273,26.47
1972,6697.653,23100.728,28.99
1973,7775.02,27095.841,28.69
1974,8313.231,29871.646,27.83
1975,8661.31,31219.536,27.74
1976,9445.726,35210.448,26.83
1977,11201.027,39493.475,28.36
1978,12988.367,43461.72,29.88
1979,14144.385,49721.662,28.45
1980,17341.347,56701.075,30.58
1981,20825.215,63070.511,33.02
1982,22743.314,68397.176,33.25
1983,22159.482,70953.101,31.23
1984,18200.686,72130.854,25.23
1985,17847.018,76501.024,23.33
1986,19229.5,81273.35,23.66
1987,23201.006,88597.709,26.19
1988,27521.459,98592.152,27.91
1989,29588.39,109056.213,27.13
1990,31446.585,117608.11,26.74
1991,32271.366,126896.436,25.43
1992,31723.949,131202.305,24.18
1993,29828.198,131567.874,22.67
1994,30790.892,135673.93,22.69
1995,33630.478,144451.336,23.28
1996,35777.183,150174.215,23.82
1997,41494.601,159610.812,26.00
1998,46369.325,169551.511,27.35
1999,49951.273,181041.019,27.59
2000,54400.289,194265.582,28.00
2001,55410.194,202362.954,27.38
2002,54845.219,212108.896,25.86
2003,51818.492,218087.233,23.76
2004,52744.393,225171.794,23.42
2005,55201.098,238691.186,23.13
2006,58513.513,259680.885,22.53
2007,61076.104,271333.311,22.51
2008,64338.768,281542.549,22.85
2009,59287.972,279639.203,21.20
2010,59301.81,288239.161,20.57
2011,52059.486,282620.91,18.42
2012,43990.027,277991.759,15.82
2013,43094.569,292135.199,14.75
2014,44937.207,298951.673,15.03
2015,47673.554,307230.008,15.52
2016,50564.501,326364.379,15.49
2017,57127.674,340370.325,16.78
2018,62940.731,359198.932,17.52
2019,69467.943,383668.778,18.11
2020,69120.368,359906.742,19.21
2021,76766.313,377721.074,20.32
